iter	Passed	Remaining
536	264632	228165
537	265159	227701
538	265753	227295
539	266274	226826
540	266762	226328
541	267246	225828
542	267777	225366
543	268329	224922
544	268855	224457
545	269326	223945
546	269823	223455
547	270361	222999
548	270976	222605
549	271400	222054
550	271903	221569
551	272412	221088
552	272863	220560
553	273443	220137
554	273935	219642
555	274401	219126
556	274888	218627
557	275388	218139
558	275792	217575
559	276329	217115
560	276822	216622
561	277266	216090
562	277730	215574
563	278181	215048
564	278591	214490
565	279262	214134
566	279773	213654
567	280393	213256
568	280979	212833
569	281562	212406
570	282358	212140
571	283040	211785
572	283535	211290
573	284006	210778
574	284488	210273
575	284979	209776
576	285443	209259
577	286196	208952
578	286636	208417
579	287028	207848
580	287592	207403
581	288058	206887
582	288569	206403
583	289087	205925
584	289650	205478
585	290110	204958
586	290632	204482
587	291179	204023
588	291754	203584
589	292315	203134
590	292803	202633
591	293382	202195
592	294008	201789
593	294432	201245
594	294909	200736
595	295385	200227
596	295904	199748
597	296379	199238
598	296853	198728
599	297283	198189
600	297750	197674
601	298181	197136
602	298668	196636
603	299165	196141
604	299645	195636
605	300146	195144
606	300710	194694
607	301187	194186
608	301690	193695
609	302131	193165
610	302628	192671
611	303096	192159
612	303652	191702
613	304253	191273
614	304846	190838
615	305363	190356
616	305826	189840
617	306260	189306
618	306758	188812
619	307484	188458
620	308054	188007
621	308478	187467
622	308900	186926
623	309210	186318
624	309653	185791
625	310136	185289
626	310686	184826
627	311161	184318
628	311613	183797
629	312090	183291
630	312559	182780
631	313002	182254
632	313535	181781
633	313936	181231
634	314319	180671
635	314746	180137
636	315323	179689
637	315790	179178
638	316282	178682
639	316691	178138
640	317116	177605
641	317548	177075
642	318026	176571
643	318539	176087
644	319014	175581
645	319482	175072
646	320129	174660
647	320564	174133
648	321033	173625
649	321333	173025
650	321844	172540
651	322229	171987
652	322672	171466
653	323031	170900
654	323523	170405
655	324050	169928
656	324529	169427
657	324970	168905
658	325448	168403
659	325872	167873
660	326532	167465
661	326980	166947
662	327528	166481
663	327924	165937
664	328384	165426
665	328845	164916
666	329323	164414
667	329705	163865
668	330217	163381
669	330600	162832
670	331046	162316
671	331534	161820
672	332003	161315
673	332435	160792
674	332829	160251
675	333261	159728
